ASX LISTED COMPANIES AS AT THU OCT 23 00:01:24 EST 2014
ALS LIMITED,ALQ.AX,COMMERCIAL SERVICES & SUPPLIES
ALTERNATIVE INVESTMENT TRUST,AIQ.AX,NOT APPLIC
ALTIUM LIMITED,ALU.AX,SOFTWARE & SERVICES
ALTONA MINING LIMITED,AOH.AX,MATERIALS
ALTURA MINING LIMITED,AJM.AX,MATERIALS
ALUMINA LIMITED,AWC.AX,MATERIALS
AMA GROUP LIMITED,AMA.AX,RETAILING
AMALGAMATED HOLDINGS LIMITED,AHD.AX,MEDIA
AMBASSADOR OIL AND GAS LIMITED,AQO.AX,ENERGY
AMBERTECH LIMITED,AMO.AX,TECHNOLOGY HARDWARE & EQUIPMENT
AMBITION GROUP LIMITED,AMB.AX,COMMERCIAL SERVICES & SUPPLIES
AMCIL LIMITED,AMH.AX,DIVERSIFIED FINANCIALS
AMCOM TELECOMMUNICATIONS LIMITED,AMM.AX,TELECOMMUNICATION SERVICES
AMCOR LIMITED,AMC.AX,MATERIALS
AMERICAN PATRIOT OIL & GAS LIMITED,AOW.AX,ENERGY
AMEX RESOURCES LIMITED,AXZ.AX,MATERIALS
AMP CAPITAL CHINA GROWTH FUND,AGF.AX,DIVERSIFIED FINANCIALS
AMP LIMITED,AMP.AX,INSURANCE
ANAECO LIMITED,ANQ.AX,COMMERCIAL SERVICES & SUPPLIES
ANALYTICA LIMITED,ALT.AX,HEALTH CARE EQUIPMENT & SERVICES
ANATARA LIFESCIENCES LTD,ANR.AX,PHARMACEUTICALS & BIOTECHNOLOGY
ANATOLIA ENERGY LIMITED,AEK.AX,ENERGY
ANCHOR RESOURCES LIMITED,AHR.AX,MATERIALS
ANEKA TAMBANG (PERSERO) TBK (PT),ATM.AX,MATERIALS
ANGLO AMERICAN CAPITAL PLC,AQM.AX,NOT APPLIC
ANGLO AUSTRALIAN RESOURCES NL,AAR.AX,MATERIALS
ANGLOGOLD ASHANTI LIMITED,AGG.AX,MATERIALS
ANITTEL GROUP LIMITED,AYG.AX,SOFTWARE & SERVICES
ANOVA METALS LIMITED,AWV.AX,MATERIALS
ANSELL LIMITED,ANN.AX,HEALTH CARE EQUIPMENT & SERVICES
ANTARES ENERGY LIMITED,AZZ.AX,ENERGY
ANTARES MINING LIMITED,AWW.AX,MATERIALS
ANTARIA LIMITED,ANO.AX,MATERIALS
ANTEO DIAGNOSTICS LIMITED,ADO.AX,HEALTH CARE EQUIPMENT & SERVICES
ANTILLES OIL AND GAS NL,AVD.AX,ENERGY
