Symbol,Date,Close
WOW.ax,2014-09-30,34.24
WOW.ax,2014-09-29,34.10
WOW.ax,2014-09-26,34.50
WOW.ax,2014-09-25,34.98
WOW.ax,2014-09-24,34.82
WOW.ax,2014-09-23,34.99
WOW.ax,2014-09-22,34.80
WOW.ax,2014-09-19,35.07
WOW.ax,2014-09-18,34.99
WOW.ax,2014-09-17,35.15
WOW.ax,2014-09-16,35.20
WOW.ax,2014-09-15,35.21
WOW.ax,2014-09-12,35.25
WOW.ax,2014-09-11,35.30
WOW.ax,2014-09-10,35.66
WOW.ax,2014-09-09,36.48
WOW.ax,2014-09-08,36.38
WOW.ax,2014-09-05,36.31
WOW.ax,2014-09-04,36.32
WOW.ax,2014-09-03,35.97
WOW.ax,2014-09-02,35.94
WOW.ax,2014-09-01,35.71
WOW.ax,2014-08-29,36.16
WOW.ax,2014-08-28,36.95
WOW.ax,2014-08-27,36.96
WOW.ax,2014-08-26,36.78
WOW.ax,2014-08-25,36.82
WOW.ax,2014-08-22,37.02
WOW.ax,2014-08-21,36.97
WOW.ax,2014-08-20,36.94
WOW.ax,2014-08-19,36.84
WOW.ax,2014-08-18,36.46
WOW.ax,2014-08-15,36.12
WOW.ax,2014-08-14,36.10
WOW.ax,2014-08-13,35.93
WOW.ax,2014-08-12,35.74
WOW.ax,2014-08-11,35.87
WOW.ax,2014-08-08,35.67
WOW.ax,2014-08-07,36.23
WOW.ax,2014-08-06,36.22
WOW.ax,2014-08-05,36.36
WOW.ax,2014-08-04,36.49
WOW.ax,2014-08-01,36.46
WOW.ax,2014-07-31,36.95
WOW.ax,2014-07-30,36.79
WOW.ax,2014-07-29,36.22
WOW.ax,2014-07-28,35.88
WOW.ax,2014-07-25,36.00
WOW.ax,2014-07-24,36.22
WOW.ax,2014-07-23,35.94
WOW.ax,2014-07-22,35.70
WOW.ax,2014-07-21,35.91
WOW.ax,2014-07-18,35.95
WOW.ax,2014-07-17,35.84
WOW.ax,2014-07-16,35.92
WOW.ax,2014-07-15,36.22
WOW.ax,2014-07-14,36.21
WOW.ax,2014-07-11,35.97
WOW.ax,2014-07-10,35.83
WOW.ax,2014-07-09,35.89
WOW.ax,2014-07-08,36.31
WOW.ax,2014-07-07,36.48
WOW.ax,2014-07-04,36.42
WOW.ax,2014-07-03,36.11
WOW.ax,2014-07-02,36.10
WOW.ax,2014-07-01,35.08
WOW.ax,2014-06-30,35.22
WOW.ax,2014-06-27,35.66
WOW.ax,2014-06-26,36.08
WOW.ax,2014-06-25,35.73
WOW.ax,2014-06-24,35.73
WOW.ax,2014-06-23,35.67
WOW.ax,2014-06-20,35.40
WOW.ax,2014-06-19,35.77
WOW.ax,2014-06-18,35.83
WOW.ax,2014-06-17,35.93
WOW.ax,2014-06-16,36.18
WOW.ax,2014-06-13,36.48
WOW.ax,2014-06-12,36.60
WOW.ax,2014-06-11,36.67
WOW.ax,2014-06-10,36.84
WOW.ax,2014-06-09,37.04
WOW.ax,2014-06-06,37.04
WOW.ax,2014-06-05,36.94
WOW.ax,2014-06-04,37.01
WOW.ax,2014-06-03,37.55
WOW.ax,2014-06-02,37.96
WOW.ax,2014-05-30,37.53
WOW.ax,2014-05-29,37.51
WOW.ax,2014-05-28,37.45
WOW.ax,2014-05-27,37.89
WOW.ax,2014-05-26,37.70
WOW.ax,2014-05-23,37.57
WOW.ax,2014-05-22,37.50
WOW.ax,2014-05-21,37.25
WOW.ax,2014-05-20,37.11
WOW.ax,2014-05-19,36.92
WOW.ax,2014-05-16,37.10
WOW.ax,2014-05-15,37.28
WOW.ax,2014-05-14,36.91
WOW.ax,2014-05-13,36.85
WOW.ax,2014-05-12,36.57
WOW.ax,2014-05-09,36.84
WOW.ax,2014-05-08,36.87
WOW.ax,2014-05-07,36.95
WOW.ax,2014-05-06,37.19
WOW.ax,2014-05-05,36.84
WOW.ax,2014-05-02,36.60
WOW.ax,2014-05-01,36.52
WOW.ax,2014-04-30,37.32
WOW.ax,2014-04-29,38.04
WOW.ax,2014-04-28,38.49
WOW.ax,2014-04-25,37.74
WOW.ax,2014-04-24,37.74
WOW.ax,2014-04-23,37.93
WOW.ax,2014-04-22,37.98
WOW.ax,2014-04-21,37.09
WOW.ax,2014-04-18,37.09
WOW.ax,2014-04-17,37.09
WOW.ax,2014-04-16,36.34
WOW.ax,2014-04-15,35.97
WOW.ax,2014-04-14,35.65
WOW.ax,2014-04-11,36.04
WOW.ax,2014-04-10,36.35
WOW.ax,2014-04-09,35.93
WOW.ax,2014-04-08,35.71
WOW.ax,2014-04-07,35.86
WOW.ax,2014-04-04,35.96
WOW.ax,2014-04-03,35.89
WOW.ax,2014-04-02,35.67
WOW.ax,2014-04-01,35.63
WOW.ax,2014-03-31,35.72
WOW.ax,2014-03-28,35.60
WOW.ax,2014-03-27,36.09
WOW.ax,2014-03-26,36.20
WOW.ax,2014-03-25,35.54
WOW.ax,2014-03-24,35.59
WOW.ax,2014-03-21,35.80
WOW.ax,2014-03-20,35.46
WOW.ax,2014-03-19,35.93
WOW.ax,2014-03-18,35.80
WOW.ax,2014-03-17,35.48
WOW.ax,2014-03-14,36.32
